Estado,#,Tarea,Categoría,Notas
FALSE,1,Shorts en home: reproducción inline sin modal y pausar el resto al reproducir uno,Frontend / Home,"Inline ya está implementado (toggle por tarjeta). Falta: al hacer play en uno, pausar los otros videos activos."
FALSE,2,"Admin RRSS: quitar X y agregar LinkedIn",Admin / Footer,"El catálogo ya soporta 10 redes (Instagram, Facebook, X, TikTok, YouTube, LinkedIn, WhatsApp, Pinterest, Threads, Telegram). Solo falta editarlo en el panel del cliente."
FALSE,3,Aplicar formato CLP $ en los campos de valores,Admin / Inputs,"Inputs de precios deben mostrar separador de miles y prefijo $ mientras se escribe."
FALSE,4,Integración formularios ""Cotizar vehículos nuevos"" con Salesforce,Integraciones,Marcelo revisará documentación API.
FALSE,5,Felipe enviará lista de correos asociados a contactos,Integraciones,Pendiente Felipe.
FALSE,6,"Incluir campo RUT en formulario de contacto (especialmente en Cotizar vehículos nuevos)",Formularios,Validar formato y dígito verificador chileno.
FALSE,7,"Replicar formulario ""Prevención del delito"" (basado en formulario de contacto general)",Formularios,
FALSE,8,En Programas: además de imágenes de banner/sección, poder administrar URL de vínculo,Admin / Programas,
FALSE,9,Modal ""Modelo 360"" en Vehículos nuevos: bloquear barra de desplazamiento del body,Frontend / Modal,Aplicar overflow:hidden al body mientras el modal esté abierto.
FALSE,10,Revisar paginación del catálogo de vehículos,Catálogo,
FALSE,11,"Detalle de seminuevos: incluir indicador único ""VU"" determinado o definido por el cliente",Catálogo / Seminuevos,
FALSE,12,"Valor de usado: cambiar título a ""*Precio"" y ""*Precio con Financiamiento""",Catálogo / Seminuevos,
FALSE,13,Vehículos nuevos: PDF descargable mediante URL de ficha técnica,Catálogo / Nuevos,Campo URL editable desde admin que renderice botón ""Descargar ficha"".
